etat,marque,processeur,ram,stockage,prix
Venant,HP,Core i5,8 Go,500 Go,125 000 F Cfa
Venant,Lenovo,i5,16 Go,500 Go,200 000 F Cfa
Venant,HP,i5,8 Go,256 Go ssd,135 000 F Cfa
Venant,HP,Dual core,4 Go,250 Go,45 000 F Cfa
Neuf,HP,Ryzen 5 Pro,16,512,380 000 F Cfa
Venant,Lenovo,,8,500 go hdd,85 000 F Cfa
Venant,Dell,i5 2.5 ghz,8,500 go hdd ou 180 go ssd,160 000 F Cfa
Venant,Dell,i5 6th,8,500 go hdd,145 000 F Cfa
Venant,Apple,CORE I7,8Go,256 SSD,199 900 F Cfa
Venant,Lenovo,,,,45 000 F Cfa
D'occasion,Dell,duo,8,128 go ssd,90 000 F Cfa
Venant,HP,cor i5,8 Go,500 Go,115 000 F Cfa
Venant,Lenovo,CORE i7 ✅,8 GO ✅,1000 GO SSD ✅,350 000 F Cfa
Neuf,HP,,16Go,256Go SSD NVme,200 000 F Cfa
Venant,HP,14 POUCES,8,256Go,250 000 F Cfa
Venant,Apple,,8,1tera,300 000 F Cfa
Neuf,HP,3.0,8,256,220 000 F Cfa
Venant,HP,I7,8,512,320 000 F Cfa
Neuf,HP,I7,32,10000,650 000 F Cfa
Neuf,HP,i7,16,512,300 000 F Cfa
Venant,Apple,i7,16 Go,128 Go ssd,200 000 F Cfa
Venant,Apple,Dual core,8 Go,500 GO,125 000 F Cfa
Venant,Apple,Dual core,8 Go,500 Go,100 000 F Cfa
Venant,Apple,Core i5,8 Go,500 Go,125 000 F Cfa
Venant,Apple,Core i3,8 Go,500 Go,135 000 F Cfa
Venant,Apple,i3,4 Go,500 Go,65 000 F Cfa
Venant,Microsoft Surface,i7,8 Go,,200 000 F Cfa
Venant,Apple,I5,4Go,128Go,135 000 F Cfa
Venant,Apple,i5,4 Go,128 Go ssd,125 000 F Cfa
Venant,HP,,4 Go,500 Go,65 000 F Cfa
Neuf,Acer,"i5-13500HX (2,50 GHz to 4,7 GHz) de 13e génération",16 Go,512 Go,850 000 F Cfa
Neuf,Acer,i9-13900HX,16GB DDR5,SSD 1TB,1 350 000 F Cfa
